restaurant,tag,url,review,len,rating,count
이자카야 한잔,이자카야,1718904285,"['4.41', '338']",2,4.41,338.0
육곱식당,"곱창,막창,양",1485917067,['512'],1,,512.0
드코닝 코엑스몰점,베이커리,37898999,"['4.37', '999']",2,4.37,999.0
리나스 선릉점,샌드위치,1593468654,['95'],1,,95.0
페스티바,이탈리아음식,1918119143,"['4.36', '215']",2,4.36,215.0
스타벅스 스타필드코엑스몰R점,카페,923777626,"['4.49', '999']",2,4.49,999.0
재희키친,생선구이,1358762999,"['4.41', '374']",2,4.41,374.0
막썰이회30000,생선회,33210111,"['4.46', '238']",2,4.46,238.0
그랜드 인터컨티넨탈 서울 파르나스 그랜드 델리,베이커리,37244455,"['4.57', '682']",2,4.57,682.0
그릴1492 삼성1호점,"육류,고기요리",1307702580,"['4.71', '784']",2,4.71,784.0
샤브촌by계백집 코엑스몰점,샤브샤브,1647490620,['302'],1,,302.0
란주쿠 삼성점,일식당,1468555838,"['4.4', '549']",2,4.4,549.0
세광양대창 삼성점,"곱창,막창,양",1072497442,"['4.4', '438']",2,4.4,438.0
ASOBOY,"맥주,호프",34616235,"['4.67', '62']",2,4.67,62.0
페리지,양식,1166721504,"['4.8', '264']",2,4.8,264.0
진대감 삼성점,소고기구이,37072819,"['4.26', '695']",2,4.26,695.0
뻘밭에핀꽃,한식,1231498687,"['4.49', '473']",2,4.49,473.0
제주오전복 스타필드 코엑스점,전복요리,1647170947,"['3.8', '999']",2,3.8,999.0
올래밥상 삼성직영점,생선구이,1740737075,"['4.44', '361']",2,4.44,361.0
오봉집 삼성점,한식,1312636317,['429'],1,,429.0
하나샤부정,샤브샤브,1462219242,['29'],1,,29.0
빨라쪼델프레도 코엑스몰점,아이스크림,36166493,"['4.41', '995']",2,4.41,995.0
이천가든,한식,1789737866,"['4.29', '999']",2,4.29,999.0
삼성집,"백반,가정식",1315140245,"['4.54', '609']",2,4.54,609.0
전통백암순대국 삼성점,"순대,순댓국",19574083,"['4.34', '999']",2,4.34,999.0
몽슈슈 현대백화점 무역센터점,베이커리,37819254,"['4.5', '264']",2,4.5,264.0
인터컨티넨탈 서울 코엑스 아시안 라이브,아시아음식,11721403,"['4.49', '248']",2,4.49,248.0
단골집,해장국,1817961621,"['4.52', '312']",2,4.52,312.0
문배동 육칼 삼성동직영점,"칼국수,만두",37653728,"['4.33', '769']",2,4.33,769.0
우츠와,일식당,616148701,"['4.34', '642']",2,4.34,642.0
쇼군 스타필드코엑스몰점,일본식라면,373468375,"['4.02', '927']",2,4.02,927.0
배스킨라빈스 파르나스몰점,아이스크림,1149229899,"['4.58', '999']",2,4.58,999.0
차이린,중식당,13566452,"['4.27', '705']",2,4.27,705.0
키헤이커피,"카페,디저트",1074657894,"['4.69', '397']",2,4.69,397.0
기소야 삼성동본점1호점,"우동,소바",13160787,"['4.27', '849']",2,4.27,849.0
오바게트,베이커리,1595462746,['226'],1,,226.0
블랙랩,양식,245349045,"['4.75', '520']",2,4.75,520.0
